"Actual","Predicted"
0,2.41316004244845
0,2.1769917136241
4.096,2.50194393779457
2.503,2.31322962952014
2.746,2.49976677899069
3.064,2.27595188850246
4.576,2.4014891095224
4.616,2.02215674926784
4.749,2.62190921010809
1.481,2.44972553538547
2.862,2.46771260481495
0,2.62944897260858
0,2.52166225867931
2.835,2.03474294700355
0,2.57921320389258
0,2.13381442960937
0,2.794149237805
2.953,2.0805582421369
1.824,1.26328880567087
4.003,2.45332650836867
1.671,2.56898731935708
4.211,2.47871067310401
4.4,2.76868257614842
1.451,1.96815201733598
2.009,1.95764167303058
1.746,1.68462465191521
2.861,2.54625434584931
1.113,2.56396849135478
1.26,2.4557706070435
0,2.47027632473014
0,2.46452158866863
1.562,2.5434504999792
0,1.83647953933924
4.009,2.47570959948232
2.209,2.61388196827016
3.281,2.58638757461721
0,2.30376490839167
1.573,2.49827725170283
4.538,2.94809244536078
3.958,2.42201230102658
4.211,2.38723834249489
4.914,2.13115203000771
3.357,2.11881913596447
0,2.70137096502339
0,1.69266508588692
1.604,2.25796945222447
2.577,2.70249955671164
0,2.03000306498229
4.147,2.59880290516091
2.856,2.39334279594669
4.385,1.9779451969631
0,2.61724240270013
0,2.56459810270378
0,2.36992337162747
0,2.54546052302089
4.511,3.06187821769949
4.49,2.24020982257651
2.141,2.62763015622778
3.07,2.40293658890992
3.16,2.57339080233242
0,1.59065862327498
4.698,2.91155451319318
2.129,2.37075372323247
3.673,2.69773326444137
2.087,2.50774965295437
2.07,2.5721999350789
4.15,1.9859566931278
2.252,2.23647837603991
1.279,2.34478215827137
0,1.45642616866005
3.44,2.36576039042577
1.502,2.45156325371986
4.806,2.51427861235638
0,2.09447257937556
4.69,2.6411357935217
3.942,2.63116301818923
3.632,2.70145816570901
0,2.36891862163243
0,2.32689254762742
0,2.39206995304704
4.268,2.38015991746567
4.144,2.87453226952779
3.708,2.80603086577402
3.795,2.35067810074495
2.028,2.40326529045501
3.457,2.26075420081656
4.091,2.44978779903331
2.231,2.55604684068848
3.317,2.70251287829515
3.826,2.27956645495265
0,2.55026373163351
1.615,2.46517657869013
3.511,2.35657354654324
4.702,1.92192094379049
0,2.41723063834626
0,2.47525077152493
3.957,2.36750937994708
2.882,2.57014169679962
1.828,2.4403947091792
2.674,2.52300001136214
4.601,2.38548925730799
3.982,2.48827239091063
4.834,2.39785097771807
0,1.69992961125158
0,2.08130966460563
2.522,2.25674075139651
0,2.27358603447519
4.564,2.23888788521874
0,2.41646607481843
1.861,2.61711416249842
2.051,2.44709720139185
4.531,2.48639292937966
3.876,2.4685381878436
2.883,2.51411807475799
3.165,2.70675235730568
4.218,2.57361666741998
3.711,2.33215435359911
3.498,2.2884499762114
3.301,2.36675064318444
3.855,2.77528408221014
1.156,2.39442855052585
2.681,3.04607186714216
4.665,2.2711913004704
0,2.33771899071281
0,1.68688583357587
2.524,2.66892502363112
3.845,2.65773578183767
4.738,2.83493847896772
4.713,2.46316974699625
3.214,2.34375480646282
4.522,2.46055105005021
0,2.32241663041567
2.201,2.18813578905061
3.94,2.48439564847225
3.906,2.43172939685947
2.592,2.53778595686667
3.518,2.01168385716582
3.88,2.67330431046071
0,2.2321937207132
0,2.24107242656303
3.002,2.49907200490152
0,2.27802126419814
0,2.40760939168654
3.657,2.63626750815451
0,2.42691727538363
4.72,2.51302540008115
2.933,2.55618726010447
2.807,2.73852419502585
2.393,2.05907466397821
0,2.2500649081651
4.38,2.19859380505635
0,0.892945981958999
2.844,2.50904905617545
4.429,2.64372824934778
3.99,2.3048740029101
3.146,2.63212940855416
4.001,2.7077596644281
3.695,2.59471570186805
4.525,2.63998322729817
3.095,2.59048572011197
0,-0.482161224454007
4.371,2.46799655357617
1.771,2.84708917298037
4.196,2.43165370956771
1.523,1.62135823620728
4.166,2.50192588895079
1.829,2.81715411400449
0.601,3.12049801592375
1.208,2.4219219246286
4.854,2.66526580735891
3.71,2.68924833688537
0,1.31118215718743
3.089,2.67959927370035
1.665,2.33037680575841
3.18,2.17815390074073
1.808,2.43475500520686
3.979,1.9764724577515
3.099,2.56042549492655
3.894,2.59510842089655
4.037,2.55557309399185
4.351,2.4626765962848
1.245,2.63488725614241
0,1.00160885770737
3.786,1.57808666073063
0,2.23582225848881
0,-0.845801638979404
3.678,2.24904406202458
0,2.3729757526323
2.903,2.47236336593327
4.397,2.45425811823914
0,2.51881489386527
4.107,2.48751965311386
4.112,2.45478639350804
4.916,2.26945337874062
1.932,2.59303153853058
2.675,2.17968349597484
0,2.61123407194926
2.301,2.72090308609132
2.16,2.41355525329681
1.825,2.71785355470002
0,2.81709627773801
0,2.52070575692925
1.899,2.39650657219563
4.913,2.42086360757946
2.228,2.79863216116604
4.75,2.58886373207395
4.611,1.68107457193268
0,2.7286510694374
4.406,2.59789911842101
3.148,2.32939676150159
2.621,2.45366166760837
2.495,2.64524026672361
4.618,2.78747169188181
4.404,2.97199541818547
0.946,2.51933217884948
2.096,2.44364520561196
2.205,2.37622371126212
2.635,2.5638965717034
0,2.80340956814024
4.926,2.31558176526112
1.887,2.53837346044462
3.003,3.22841699917555
3.509,2.31461876321832
2.854,2.85235292929495
4.49,2.6003863717943
2.064,2.1923688726601
2.725,2.23484049623681
1.954,1.68095049562277
4.186,2.70991084310059
2.876,2.87384987570278
4.178,1.97352677304382
4.123,2.75337797769018
2.517,2.44269080805543
0,2.12250978677454
2.908,2.55164251099286
1.306,2.43745364546596
0,1.09415146225492
2.948,2.52308302542172
3.808,2.30743634630585
0,2.22950540484145
3.837,2.09475508765821
3.24,3.00854851773274
2.929,2.537218323063
2.936,2.4773196225907
3.257,2.64388465175122
2.975,2.34117299359514
0,0.981647460945826
4.327,2.5680736070454
4.719,2.47236653934797
4.287,2.84812897008693
0,2.01836109686069
4.781,2.51174028345261
1.578,3.02040631399017
3.818,2.50387645071184
1.462,2.11421895539178
3.931,2.44735827158159
2.079,2.48037494461611
3.566,2.65059159179543
4.125,1.73739544659832
0,2.59757288761453
2.081,2.48626042870474
3.056,2.60139843781953
2.624,2.9195861453733
1.458,2.06330901499845
4.832,2.42324747805734
0,2.32745663518044
1.923,2.42823285868677
1.896,2.48912421486187
3.922,2.30757714326222
3.195,2.13313377841394
2.731,2.18531707551155
1.928,2.23382288876664
3.039,2.28218102521004
0,2.41913599646803
0,2.60897847601345
0,2.63601363315093
2.903,2.62496851423389
4.676,2.58847918286379
2.677,2.41191722976625
4.685,2.76928879160824
0,2.22486771965945
0,2.48045086509034
3.138,2.44761541480397
0,2.17716615040486
3.11,2.43705228152897
3.316,3.03061480226941
1.207,2.36851517012702
0,2.45774164357858
0,2.26356340974602
4.619,2.53446280635606
0,2.50337366905729
2.968,2.71630429996052
0,2.49778714415623
2.383,2.46308568363204
3.899,2.44925356622396
4.852,2.38609457814212
0,2.10969943611301
4.711,2.98251759903851
3.681,2.30565200288225
2.868,2.37990683265986
0,2.4592035105275
3.298,2.2843045253062
3.354,2.44389890834022
3.792,2.69124911658536
2.785,2.65935918983674
0,2.21147976289618
0,2.51131449140011
0,2.62282894667893
4.394,2.44328401794297
0,2.73315862105161
1.957,2.4836546399813
0,2.43451932231854
4.679,2.37090114403961
0,-0.0344921237000051
